NAMA_KAPAL,VOYAGE,PELABUHAN,ETA_HARI,ETA_TANGGAL,ETA_JAM,ETD_HARI,ETD_TANGGAL,ETD_JAM
KM. LABOBAR,01.2025,Tg.Priok,Minggu,29-Dec-24,00:01,Minggu,29-Dec-24,12:00
KM. LABOBAR,01.2025,Surabaya,Senin,30-Dec-24,12:00,Senin,30-Dec-24,16:00
KM. LABOBAR,01.2025,Makassar,Selasa,31-Dec-24,18:00,Selasa,31-Dec-24,21:00
KM. LABOBAR,01.2025,Bau-Bau,Rabu,1-Jan-25,11:00,Rabu,1-Jan-25,13:00
KM. LABOBAR,01.2025,Namlea,Kamis,2-Jan-25,12:00,Kamis,2-Jan-25,14:00
KM. LABOBAR,01.2025,Ambon,Kamis,2-Jan-25,19:00,Kamis,2-Jan-25,22:00
KM. LABOBAR,01.2025,Banda,Jum'at,3-Jan-25,05:00,Jum'at,3-Jan-25,07:00
KM. LABOBAR,01.2025,Tual,Jum'at,3-Jan-25,19:00,Jum'at,3-Jan-25,22:00
KM. LABOBAR,01.2025,Dobo,Sabtu,4-Jan-25,05:00,Sabtu,4-Jan-25,08:00
KM. LABOBAR,01.2025,Kaimana,Sabtu,4-Jan-25,17:00,Sabtu,4-Jan-25,19:00
KM. LABOBAR,01.2025,Fak-Fak,Minggu,5-Jan-25,05:00,Minggu,5-Jan-25,08:00
KM. LABOBAR,01.2025,Sorong,Minggu,5-Jan-25,22:00,Senin,6-Jan-25,01:00
KM. LABOBAR,01.2025,Manokwari,Senin,6-Jan-25,14:00,Senin,6-Jan-25,16:00
KM. LABOBAR,01.2025,Nabire,Selasa,7-Jan-25,01:00,Selasa,7-Jan-25,04:00
KM. LABOBAR,01.2025,Manokwari,Selasa,7-Jan-25,14:00,Selasa,7-Jan-25,16:00
KM. LABOBAR,01.2025,Sorong,Rabu,8-Jan-25,05:00,Rabu,8-Jan-25,08:00
KM. LABOBAR,01.2025,Fak-Fak,Rabu,8-Jan-25,21:00,Rabu,8-Jan-25,23:00
KM. LABOBAR,01.2025,Kaimana,Kamis,9-Jan-25,09:00,Kamis,9-Jan-25,11:00
KM. LABOBAR,01.2025,Dobo,Kamis,9-Jan-25,20:00,Kamis,9-Jan-25,22:00
KM. LABOBAR,01.2025,Tual,Jum'at,10-Jan-25,05:00,Jum'at,10-Jan-25,07:00
