NAMA_KAPAL,VOYAGE,PELABUHAN,ETA_HARI,ETA_TANGGAL,ETA_JAM,ETD_HARI,ETD_TANGGAL,ETD_JAM
KM. LABOBAR,1.2025,TANJUNG PRIOK,Minggu,29-Dec-24,00:01,Minggu,29-Dec-24,12:00
KM. LABOBAR,1.2025,SURABAYA,Senin,30-Dec-24,12:00,Senin,30-Dec-24,16:00
KM. LABOBAR,1.2025,MAKASSAR,Selasa,31-Dec-24,18:00,Selasa,31-Dec-24,21:00
KM. LABOBAR,1.2025,BAU-BAU,Rabu,1-Jan-25,11:00,Rabu,1-Jan-25,13:00
KM. LABOBAR,1.2025,NAMLEA,Kamis,2-Jan-25,12:00,Kamis,2-Jan-25,14:00
KM. LABOBAR,1.2025,AMBON,Kamis,2-Jan-25,19:00,Kamis,2-Jan-25,22:00
KM. LABOBAR,1.2025,BANDA,Jum'at,3-Jan-25,05:00,Jum'at,3-Jan-25,07:00
KM. LABOBAR,1.2025,TUAL,Jum'at,3-Jan-25,19:00,Jum'at,3-Jan-25,22:00
KM. LABOBAR,1.2025,DOBO,Sabtu,4-Jan-25,05:00,Sabtu,4-Jan-25,08:00
KM. LABOBAR,1.2025,KAIMANA,Sabtu,4-Jan-25,17:00,Sabtu,4-Jan-25,19:00
KM. LABOBAR,1.2025,FAK-FAK,Minggu,5-Jan-25,05:00,Minggu,5-Jan-25,08:00
KM. LABOBAR,1.2025,SORONG,Minggu,5-Jan-25,22:00,Senin,6-Jan-25,01:00
KM. LABOBAR,1.2025,MANOKWARI,Senin,6-Jan-25,14:00,Senin,6-Jan-25,16:00
KM. LABOBAR,1.2025,NABIRE,Selasa,7-Jan-25,01:00,Selasa,7-Jan-25,04:00
KM. LABOBAR,1.2025,MANOKWARI,Selasa,7-Jan-25,14:00,Selasa,7-Jan-25,16:00
KM. LABOBAR,1.2025,SORONG,Rabu,8-Jan-25,05:00,Rabu,8-Jan-25,08:00
KM. LABOBAR,1.2025,FAK-FAK,Rabu,8-Jan-25,21:00,Rabu,8-Jan-25,23:00
KM. LABOBAR,1.2025,KAIMANA,Kamis,9-Jan-25,09:00,Kamis,9-Jan-25,11:00
KM. LABOBAR,1.2025,DOBO,Kamis,9-Jan-25,20:00,Kamis,9-Jan-25,22:00
KM. LABOBAR,1.2025,TUAL,Jum'at,10-Jan-25,05:00,Jum'at,10-Jan-25,07:00
KM. LABOBAR,1.2025,BANDA,Jum'at,10-Jan-25,20:00,Jum'at,10-Jan-25,21:00
KM. LABOBAR,1.2025,AMBON,Sabtu,11-Jan-25,06:00,Sabtu,11-Jan-25,08:00
KM. LABOBAR,1.2025,NAMLEA,Sabtu,11-Jan-25,13:00,Sabtu,11-Jan-25,15:00
KM. LABOBAR,1.2025,BAU-BAU,Minggu,12-Jan-25,15:00,Minggu,12-Jan-25,17:00
KM. LABOBAR,1.2025,MAKASSAR,Senin,13-Jan-25,09:00,Senin,13-Jan-25,11:00
KM. LABOBAR,1.2025,SURABAYA,Selasa,14-Jan-25,15:00,Selasa,14-Jan-25,18:00
KM. LABOBAR,1.2025,TANJUNG PRIOK,Rabu,15-Jan-25,19:00,,,
KM. LABOBAR,2.2025,TANJUNG PRIOK,Rabu,15-Jan-25,19:00,Kamis,16-Jan-25,04:00
KM. LABOBAR,2.2025,SURABAYA,Jum'at,17-Jan-25,03:00,Jum'at,17-Jan-25,07:00
KM. LABOBAR,2.2025,MAKASSAR,Sabtu,18-Jan-25,10:00,Sabtu,18-Jan-25,13:00
KM. LABOBAR,2.2025,BAU-BAU,Minggu,19-Jan-25,03:00,Minggu,19-Jan-25,05:00
KM. LABOBAR,2.2025,AMBON,Senin,20-Jan-25,05:00,Senin,20-Jan-25,08:00
KM. LABOBAR,2.2025,BANDA,Senin,20-Jan-25,16:00,Senin,20-Jan-25,18:00
KM. LABOBAR,2.2025,TUAL,Selasa,21-Jan-25,06:00,Selasa,21-Jan-25,09:00
KM. LABOBAR,2.2025,DOBO,Selasa,21-Jan-25,16:00,Selasa,21-Jan-25,19:00
KM. LABOBAR,2.2025,KAIMANA,Rabu,22-Jan-25,04:00,Rabu,22-Jan-25,06:00
KM. LABOBAR,2.2025,DOBO,Rabu,22-Jan-25,15:00,Rabu,22-Jan-25,17:00
KM. LABOBAR,2.2025,TUAL,Kamis,23-Jan-25,00:01,Kamis,23-Jan-25,02:00
KM. LABOBAR,2.2025,BANDA,Kamis,23-Jan-25,15:00,Kamis,23-Jan-25,16:00
KM. LABOBAR,2.2025,AMBON,Jum'at,24-Jan-25,00:01,Jum'at,24-Jan-25,02:00
KM. LABOBAR,2.2025,BAU-BAU,Sabtu,25-Jan-25,03:00,Sabtu,25-Jan-25,05:00
KM. LABOBAR,2.2025,MAKASSAR,Sabtu,25-Jan-25,20:00,Sabtu,25-Jan-25,22:00
KM. LABOBAR,2.2025,SURABAYA,Senin,27-Jan-25,02:00,Senin,27-Jan-25,05:00
KM. LABOBAR,2.2025,TANJUNG PRIOK,Selasa,28-Jan-25,05:00,,,
KM. CIREMAI,1.2025,TANJUNG PRIOK,Minggu,29-Des-24,05:00,Senin,30-Des-24,13:00
KM. CIREMAI,1.2025,SURABAYA,Selasa,31-Des-24,15:00,Selasa,31-Des-24,18:00
KM. CIREMAI,1.2025,MAKASSAR,Rabu,1-Jan-25,23:00,Kamis,2-Jan-25,02:00
KM. CIREMAI,1.2025,BAU-BAU,Kamis,2-Jan-25,17:00,Kamis,2-Jan-25,19:00
KM. CIREMAI,1.2025,AMBON,Jum'at,3-Jan-25,20:00,Jum'at,3-Jan-25,23:00
KM. CIREMAI,1.2025,SORONG,Sabtu,4-Jan-25,20:00,Sabtu,4-Jan-25,23:00
KM. CIREMAI,1.2025,SERUI,Minggu,5-Jan-25,22:00,Minggu,5-Jan-25,23:59
KM. CIREMAI,1.2025,JAYAPURA,Senin,6-Jan-25,20:00,Selasa,7-Jan-25,01:00
KM. CIREMAI,1.2025,SERUI,Selasa,7-Jan-25,23:00,Rabu,8-Jan-25,01:00
KM. CIREMAI,1.2025,SORONG,Kamis,9-Jan-25,01:00,Kamis,9-Jan-25,04:00
KM. CIREMAI,1.2025,SERUI,Jum'at,10-Jan-25,03:00,Jum'at,10-Jan-25,05:00
KM. CIREMAI,1.2025,JAYAPURA,Sabtu,11-Jan-25,01:00,Sabtu,11-Jan-25,06:00
KM. CIREMAI,1.2025,SERUI,Minggu,12-Jan-25,04:00,Minggu,12-Jan-25,06:00
KM. CIREMAI,1.2025,SORONG,Senin,13-Jan-25,07:00,Senin,13-Jan-25,10:00
KM. CIREMAI,1.2025,AMBON,Selasa,14-Jan-25,10:00,Selasa,14-Jan-25,13:00
KM. CIREMAI,1.2025,BAU-BAU,Rabu,15-Jan-25,16:00,Rabu,15-Jan-25,19:00
KM. CIREMAI,1.2025,MAKASSAR,Kamis,16-Jan-25,12:00,Kamis,16-Jan-25,15:00
KM. CIREMAI,1.2025,SURABAYA,Jum'at,17-Jan-25,22:00,Jum'at,17-Jan-25,23:59
KM. CIREMAI,1.2025,TANJUNG PRIOK,Minggu,19-Jan-25,03:00,,,
KM. CIREMAI,2.2025,TANJUNG PRIOK,Minggu,19-Jan-25,03:00,Minggu,19-Jan-25,22:00
KM. CIREMAI,2.2025,SURABAYA,Selasa,21-Jan-25,03:00,Selasa,21-Jan-25,07:00
KM. CIREMAI,2.2025,MAKASSAR,Rabu,22-Jan-25,13:00,Rabu,22-Jan-25,17:00
KM. CIREMAI,2.2025,BAU-BAU,Kamis,23-Jan-25,09:00,Kamis,23-Jan-25,11:00
KM. CIREMAI,2.2025,AMBON,Jum'at,24-Jan-25,13:00,Jum'at,24-Jan-25,16:00
KM. CIREMAI,2.2025,SORONG,Sabtu,25-Jan-25,14:00,Sabtu,25-Jan-25,16:00
KM. CIREMAI,2.2025,SERUI,Minggu,26-Jan-25,16:00,Minggu,26-Jan-25,18:00
KM. CIREMAI,2.2025,JAYAPURA,Senin,27-Jan-25,14:00,Senin,27-Jan-25,19:00
KM. CIREMAI,2.2025,SERUI,Selasa,28-Jan-25,17:00,Selasa,28-Jan-25,19:00
KM. CIREMAI,2.2025,SORONG,Rabu,29-Jan-25,18:00,Rabu,29-Jan-25,21:00
KM. CIREMAI,2.2025,AMBON,Kamis,30-Jan-25,20:00,Kamis,30-Jan-25,23:00
KM. CIREMAI,2.2025,BAU-BAU,Sabtu,1-Feb-25,02:00,Sabtu,1-Feb-25,04:00
KM. CIREMAI,2.2025,MAKASSAR,Sabtu,1-Feb-25,21:00,Sabtu,1-Feb-25,23:59
KM. CIREMAI,2.2025,SURABAYA,Senin,3-Feb-25,06:00,Senin,3-Feb-25,08:00
