Job_ID,Job_Label,Operation_Seq,Machine_ID,Port_Label,Travel_Time,Arrival_Time,Proc_Time,Due_Date
1,KM. TILONGKABILA_01.2025,1,12,Benoa,6.0,0.0,25.0,25.0
1,KM. TILONGKABILA_01.2025,2,33,Lembar,18.0,31.0,2.0,33.0
1,KM. TILONGKABILA_01.2025,3,14,Bima,7.0,51.0,4.0,55.0
1,KM. TILONGKABILA_01.2025,4,31,Labuan Bajo,18.02,62.0,1.98,63.98
1,KM. TILONGKABILA_01.2025,5,37,Makassar,21.0,82.0,5.0,87.0
1,KM. TILONGKABILA_01.2025,6,10,Bau-Bau,4.0,108.0,2.0,110.0
1,KM. TILONGKABILA_01.2025,7,50,Raha,6.0,114.0,2.0,116.0
1,KM. TILONGKABILA_01.2025,8,27,Kendari,17.0,122.0,4.0,126.0
1,KM. TILONGKABILA_01.2025,9,36,Luwuk,11.0,143.0,3.0,146.0
1,KM. TILONGKABILA_01.2025,10,22,Gorontalo,15.0,157.0,2.0,159.0
1,KM. TILONGKABILA_01.2025,11,15,Bitung,15.0,174.0,13.0,187.0
1,KM. TILONGKABILA_01.2025,12,22,Gorontalo,11.0,202.0,2.0,204.0
1,KM. TILONGKABILA_01.2025,13,36,Luwuk,18.0,215.0,2.0,217.0
1,KM. TILONGKABILA_01.2025,14,27,Kendari,7.0,235.0,4.0,239.0
1,KM. TILONGKABILA_01.2025,15,50,Raha,5.0,246.0,1.0,247.0
1,KM. TILONGKABILA_01.2025,16,10,Bau-Bau,22.0,252.0,2.0,254.0
1,KM. TILONGKABILA_01.2025,17,37,Makassar,18.0,276.0,5.0,281.0
1,KM. TILONGKABILA_01.2025,18,31,Labuan Bajo,7.0,299.0,2.0,301.0
1,KM. TILONGKABILA_01.2025,19,14,Bima,18.02,308.0,2.0,310.0
1,KM. TILONGKABILA_01.2025,20,33,Lembar,6.0,328.02,1.98,330.0
1,KM. TILONGKABILA_01.2025,21,12,Benoa,0.0,336.0,0.0,336.0
2,KM. BUKIT RAYA_01.2025,1,65,Tg. Priok,28.0,20.0,8.0,28.0
2,KM. BUKIT RAYA_01.2025,2,16,Blinyu,15.0,56.0,1.0,57.0
2,KM. BUKIT RAYA_01.2025,3,28,Kijang,13.02,72.0,3.0,75.0
2,KM. BUKIT RAYA_01.2025,4,34,Letung,4.0,88.02,0.98,89.0
2,KM. BUKIT RAYA_01.2025,5,61,Tarempa,11.0,93.0,2.0,95.0
2,KM. BUKIT RAYA_01.2025,6,45,Natuna,4.0,106.0,3.0,109.0
2,KM. BUKIT RAYA_01.2025,7,41,Midai,8.0,113.0,2.0,115.0
2,KM. BUKIT RAYA_01.2025,8,56,Serasan,17.0,123.0,2.0,125.0
2,KM. BUKIT RAYA_01.2025,9,49,Pontianak,49.0,142.0,3.0,145.0
2,KM. BUKIT RAYA_01.2025,10,59,Surabaya,45.0,194.0,4.0,198.0
2,KM. BUKIT RAYA_01.2025,11,49,Pontianak,14.0,243.0,2.0,245.0
2,KM. BUKIT RAYA_01.2025,12,56,Serasan,8.0,259.0,2.0,261.0
2,KM. BUKIT RAYA_01.2025,13,41,Midai,4.0,269.0,1.0,270.0
2,KM. BUKIT RAYA_01.2025,14,45,Natuna,11.0,274.0,2.0,276.0
2,KM. BUKIT RAYA_01.2025,15,61,Tarempa,4.0,287.0,1.0,288.0
2,KM. BUKIT RAYA_01.2025,16,34,Letung,14.0,292.0,1.0,293.0
2,KM. BUKIT RAYA_01.2025,17,28,Kijang,16.0,307.0,3.0,310.0
2,KM. BUKIT RAYA_01.2025,18,16,Blinyu,28.0,326.0,1.0,327.0
2,KM. BUKIT RAYA_01.2025,19,65,Tg. Priok,0.0,355.0,0.0,355.0
3,KM. LAMBELU_01.2025,1,37,Makassar,7.0,44.0,7.0,51.0
3,KM. LAMBELU_01.2025,2,48,Pare-Pare,17.0,58.0,3.0,61.0
3,KM. LAMBELU_01.2025,3,5,Balikpapan,17.0,78.0,3.0,81.0
3,KM. LAMBELU_01.2025,4,48,Pare-Pare,6.0,98.0,3.0,101.0
3,KM. LAMBELU_01.2025,5,37,Makassar,16.0,107.0,3.0,110.0
3,KM. LAMBELU_01.2025,6,10,Bau-Bau,16.0,126.0,2.0,128.0
3,KM. LAMBELU_01.2025,7,37,Makassar,6.0,144.0,5.0,149.0
3,KM. LAMBELU_01.2025,8,48,Pare-Pare,17.0,155.0,3.0,158.0
3,KM. LAMBELU_01.2025,9,5,Balikpapan,13.0,175.0,3.0,178.0
3,KM. LAMBELU_01.2025,10,47,Pantoloan,13.0,191.0,2.0,193.0
3,KM. LAMBELU_01.2025,11,5,Balikpapan,16.0,206.0,3.0,209.0
3,KM. LAMBELU_01.2025,12,48,Pare-Pare,6.0,225.0,3.0,228.0
3,KM. LAMBELU_01.2025,13,37,Makassar,16.0,234.0,5.0,239.0
3,KM. LAMBELU_01.2025,14,10,Bau-Bau,16.0,255.0,2.0,257.0
3,KM. LAMBELU_01.2025,15,37,Makassar,6.0,273.0,3.0,276.0
3,KM. LAMBELU_01.2025,16,48,Pare-Pare,17.0,282.0,2.0,284.0
3,KM. LAMBELU_01.2025,17,5,Balikpapan,13.0,301.0,2.0,303.0
3,KM. LAMBELU_01.2025,18,47,Pantoloan,20.0,316.0,2.0,318.0
3,KM. LAMBELU_01.2025,19,60,Tarakan,6.0,338.0,3.0,341.0
3,KM. LAMBELU_01.2025,20,46,Nunukan,28.0,347.0,2.0,349.0
3,KM. LAMBELU_01.2025,21,5,Balikpapan,16.0,377.0,3.0,380.0
3,KM. LAMBELU_01.2025,22,48,Pare-Pare,6.0,396.0,2.0,398.0
3,KM. LAMBELU_01.2025,23,37,Makassar,0.0,404.0,0.0,404.0
4,KM. BUKIT SIGUNTANG_01.2025,1,37,Makassar,5.02,71.0,16.98,87.98
4,KM. BUKIT SIGUNTANG_01.2025,2,48,Pare-Pare,15.02,93.0,4.0,97.0
4,KM. BUKIT SIGUNTANG_01.2025,3,5,Balikpapan,25.0,112.02,1.98,114.0
4,KM. BUKIT SIGUNTANG_01.2025,4,60,Tarakan,6.0,139.0,4.0,143.0
4,KM. BUKIT SIGUNTANG_01.2025,5,46,Nunukan,27.0,149.0,3.0,152.0
4,KM. BUKIT SIGUNTANG_01.2025,6,5,Balikpapan,15.0,179.0,2.0,181.0
4,KM. BUKIT SIGUNTANG_01.2025,7,48,Pare-Pare,5.0,196.0,4.0,200.0
4,KM. BUKIT SIGUNTANG_01.2025,8,37,Makassar,18.02,205.0,2.98,207.98
4,KM. BUKIT SIGUNTANG_01.2025,9,39,Maumere,6.0,226.0,2.0,228.0
4,KM. BUKIT SIGUNTANG_01.2025,10,35,Lewoleba,7.0,234.0,2.0,236.0
4,KM. BUKIT SIGUNTANG_01.2025,11,30,Kupang,7.02,243.0,6.0,249.0
4,KM. BUKIT SIGUNTANG_01.2025,12,35,Lewoleba,6.0,256.02,1.98,258.0
4,KM. BUKIT SIGUNTANG_01.2025,13,39,Maumere,18.0,264.0,2.0,266.0
4,KM. BUKIT SIGUNTANG_01.2025,14,37,Makassar,5.0,284.0,6.0,290.0
4,KM. BUKIT SIGUNTANG_01.2025,15,48,Pare-Pare,16.0,295.0,4.0,299.0
4,KM. BUKIT SIGUNTANG_01.2025,16,5,Balikpapan,24.0,315.0,2.0,317.0
4,KM. BUKIT SIGUNTANG_01.2025,17,60,Tarakan,6.0,341.0,4.0,345.0
4,KM. BUKIT SIGUNTANG_01.2025,18,46,Nunukan,27.0,351.0,2.0,353.0
4,KM. BUKIT SIGUNTANG_01.2025,19,5,Balikpapan,16.0,380.0,2.0,382.0
4,KM. BUKIT SIGUNTANG_01.2025,20,48,Pare-Pare,5.0,398.0,4.0,402.0
4,KM. BUKIT SIGUNTANG_01.2025,21,37,Makassar,0.0,407.0,0.0,407.0
5,KM. LABOBAR_01.2025,1,65,Tg. Priok,24.0,88.02,11.98,100.0
5,KM. LABOBAR_01.2025,2,59,Surabaya,26.0,124.0,4.0,128.0
5,KM. LABOBAR_01.2025,3,37,Makassar,14.0,154.0,3.0,157.0
5,KM. LABOBAR_01.2025,4,10,Bau-Bau,23.0,171.0,2.0,173.0
5,KM. LABOBAR_01.2025,5,43,Namlea,5.0,196.0,2.0,198.0
5,KM. LABOBAR_01.2025,6,2,Ambon,7.0,203.0,3.0,206.0
5,KM. LABOBAR_01.2025,7,6,Banda,12.0,213.0,2.0,215.0
5,KM. LABOBAR_01.2025,8,68,Tual,7.0,227.0,3.0,230.0
5,KM. LABOBAR_01.2025,9,18,Dobo,9.0,237.0,3.0,240.0
5,KM. LABOBAR_01.2025,10,24,Kaimana,10.0,249.0,2.0,251.0
5,KM. LABOBAR_01.2025,11,20,Fak-Fak,14.0,261.0,3.0,264.0
5,KM. LABOBAR_01.2025,12,58,Sorong,13.0,278.0,3.0,281.0
5,KM. LABOBAR_01.2025,13,38,Manokwari,9.0,294.0,2.0,296.0
5,KM. LABOBAR_01.2025,14,42,Nabire,10.0,305.0,3.0,308.0
5,KM. LABOBAR_01.2025,15,38,Manokwari,13.0,318.0,2.0,320.0
