port_name,min_elevation,max_elevation,buffer_time,ship_name,force_sandar
SAMPIT,2.4,5,4,KM.LAWIT,false
KUMAI,0.8,5,2,KM.LAWIT,false
KUMAI,0.8,5,2,KM.KELIMUTU,false
KUMAI,0.8,5,2,KM.AWU,false
PONTIANAK,1.1,5,2,KM.KELIMUTU,false
PONTIANAK,1.1,5,2,KM.BUKITRAYA,false
MERAUKE,4,5,2,KM.TATAMAILAU,false
MERAUKE,4,5,2,KM.SIRIMAU,false
MERAUKE,4,5,2,KM.LEUSER,false
AGATS,1.5,5,2,KM.TATAMAILAU,false
AGATS,1.5,5,2,KM.SIRIMAU,false
AGATS,1.5,5,2,KM.LEUSER,false
TIMIKA,1.2,5,2,KM.TATAMAILAU,false
TIMIKA,1.2,5,2,KM.SIRIMAU,false
TIMIKA,1.2,5,2,KM.LEUSER,false
BATAM,1,5,1,KM.KELUD,false
MAKASSAR,1,5,0,KM.CIREMAI,true
MAKASSAR,1,5,0,KM.DOBONSOLO,true
SORONG,1,5,0,KM.CIREMAI,true
SORONG,1,5,0,KM.DOBONSOLO,true
JAYAPURA,1,5,0,KM.CIREMAI,true
JAYAPURA,1,5,0,KM.DOBONSOLO,true
MANOKWARI,0,1.5,0,KM.DOBONSOLO,true
AMBON,1,5,0,KM.CIREMAI,true
WAINGAPU,1.5,5,0,KM.EGON,true
LEMBAR,0.9,5,0,KM.EGON,true
BATULICIN,1.7,5,0,KM.EGON,true
BONTANG,1.5,5,0,KM.EGON,true
