Job_ID,Job_Label,Operation_Seq,Machine_ID,Port_Label,Travel_Time,Arrival_Time,Proc_Time,Due_Date
1,KM.BUKITSIGUNTANG_23.2024,1,40,Makassar,5.02,0.0,16.98,16.98
1,KM.BUKITSIGUNTANG_23.2024,2,51,Parepare,15.02,22.0,4.0,26.0
1,KM.BUKITSIGUNTANG_23.2024,3,5,Balikpapan,25.0,41.02,1.98,43.0
1,KM.BUKITSIGUNTANG_23.2024,4,66,Tarakan,6.0,68.0,4.0,72.0
1,KM.BUKITSIGUNTANG_23.2024,5,49,Nunukan,27.0,78.0,3.0,81.0
1,KM.BUKITSIGUNTANG_23.2024,6,5,Balikpapan,15.0,108.0,2.0,110.0
1,KM.BUKITSIGUNTANG_23.2024,7,51,Parepare,5.0,125.0,4.0,129.0
1,KM.BUKITSIGUNTANG_23.2024,8,40,Makassar,18.02,134.0,2.98,136.98
1,KM.BUKITSIGUNTANG_23.2024,9,42,Maumere,6.0,155.0,2.0,157.0
1,KM.BUKITSIGUNTANG_23.2024,10,38,Lewoleba,7.0,163.0,2.0,165.0
1,KM.BUKITSIGUNTANG_23.2024,11,33,Kupang,7.02,172.0,6.0,178.0
1,KM.BUKITSIGUNTANG_23.2024,12,38,Lewoleba,6.0,185.02,1.98,187.0
1,KM.BUKITSIGUNTANG_23.2024,13,42,Maumere,18.0,193.0,2.0,195.0
1,KM.BUKITSIGUNTANG_23.2024,14,40,Makassar,5.0,213.0,6.0,219.0
1,KM.BUKITSIGUNTANG_23.2024,15,51,Parepare,16.0,224.0,4.0,228.0
1,KM.BUKITSIGUNTANG_23.2024,16,5,Balikpapan,24.0,244.0,2.0,246.0
1,KM.BUKITSIGUNTANG_23.2024,17,66,Tarakan,6.0,270.0,4.0,274.0
1,KM.BUKITSIGUNTANG_23.2024,18,49,Nunukan,27.0,280.0,2.0,282.0
1,KM.BUKITSIGUNTANG_23.2024,19,5,Balikpapan,16.0,309.0,2.0,311.0
1,KM.BUKITSIGUNTANG_23.2024,20,51,Parepare,5.0,327.0,4.0,331.0
2,KM.WILIS_22.2024,1,9,Batulicin,30.02,80.0,27.0,107.0
2,KM.WILIS_22.2024,2,40,Makassar,24.0,137.02,7.98,145.0
2,KM.WILIS_22.2024,3,34,Labuan Bajo,9.0,169.0,1.0,170.0
2,KM.WILIS_22.2024,4,14,Bima,11.0,179.0,1.0,180.0
2,KM.WILIS_22.2024,5,72,Waikelo,9.0,191.0,1.0,192.0
2,KM.WILIS_22.2024,6,73,Waingapu,11.0,201.0,4.0,205.0
