job_id,ship_name,port_name,m_id,arrival_ready_time,start_time,idle_docking_time,finish_time,tardiness
10,KM.DOBONSOLO,TANJUNGPRIOK,65,158.0,158.0,0.0,178.0,0.0
15,KM.NGGAPULU,TANJUNGPRIOK,65,173.0,173.0,0.0,189.0,0.0
5,KM.BINAIYA,BENOA,12,66.0,66.0,0.0,88.0,0.0
20,KM.LAMBELU,MAKASSAR,40,244.0,244.0,0.0,256.0,0.0
22,KFC.JETLINER,KENDARI,30,261.0,261.0,0.0,271.0,0.0
8,KM.TATAMAILAU,BITUNG,15,101.0,101.0,0.0,113.0,0.0
14,KM.AWU,KUMAI,32,172.0,172.0,0.0,182.0,0.0
1,KM.LAWIT,TANJUNGPRIOK,65,13.0,178.0,-7.105427357601002e-15,212.98,165.0
2,KM.KELIMUTU,SURABAYA,62,20.0,20.0,0.0,26.0,0.0
10,KM.DOBONSOLO,SURABAYA,62,205.0,205.0,0.0,209.0,0.0
19,KM.SIRIMAU,SORONG,61,240.0,240.0,0.0,246.0,0.0
8,KM.TATAMAILAU,TERNATE,68,127.0,127.0,0.0,129.0,0.0
11,KM.SANGIANG,BITUNG,15,161.0,161.0,0.0,208.0,0.0
22,KFC.JETLINER,WANCI,74,284.0,284.0,0.0,286.0,0.0
1,KM.LAWIT,SURABAYA,62,253.0,253.0,0.0,257.0,165.0
1,KM.LAWIT,SAMPIT,55,285.0,308.0,0.0,328.0,188.0
4,KM.TIDAR,KIJANG,31,55.0,55.0,0.0,58.0,0.0
30,KM.LAWIT,KUMAI,32,388.0,401.0,13.0,424.0,26.0
24,KM.LEUSER,SURABAYA,62,281.0,281.0,0.0,309.0,0.0
10,KM.DOBONSOLO,MAKASSAR,40,237.0,237.0,11.02,251.0,11.02000000000001
18,KM.BUKITRAYA,TANJUNGPRIOK,65,210.0,210.0,0.0,215.0,0.0
16,KM.TILONGKABILA,BENOA,12,176.0,176.0,0.0,200.0,0.0
19,KM.SIRIMAU,AMBON,2,280.0,280.0,0.0,283.0,0.0
8,KM.TATAMAILAU,AMBON,2,157.0,157.0,0.0,160.0,0.0
20,KM.LAMBELU,PAREPARE,51,261.0,261.0,1.8207657603852567e-14,263.98,0.0
11,KM.SANGIANG,TERNATE,68,230.0,230.0,0.0,233.0,0.0
18,KM.BUKITRAYA,BLINYU,16,243.0,243.0,0.0,244.0,0.0
5,KM.BINAIYA,BIMA,14,111.0,111.0,0.0,113.0,0.0
8,KM.TATAMAILAU,TUAL,71,188.0,188.0,0.0,191.0,0.0
9,KM.SINABUNG,SURABAYA,62,153.0,257.0,0.0,275.0,104.0
16,KM.TILONGKABILA,LEMBAR,36,206.0,206.0,0.0,208.0,0.0
12,KM.EGON,WAINGAPU,73,165.0,169.0,0.0,175.0,4.0
26,KM.WILIS,BATULICIN,9,327.0,327.0,0.0,354.0,0.0
6,KM.GUNUNGDEMPO,TANJUNGPRIOK,65,76.0,212.98,0.0,224.98,136.98
16,KM.TILONGKABILA,BIMA,14,226.0,226.0,0.0,230.0,0.0
24,KM.LEUSER,BENOA,12,338.0,338.0,0.0,340.0,0.0
16,KM.TILONGKABILA,LABUANBAJO,34,237.0,237.0,-1.021405182655144e-14,239.98,0.0
7,KFC.JETLINER,KENDARI,30,93.0,271.0,0.0,281.0,178.0
21,KM.BUKITSIGUNTANG,MAKASSAR,40,247.0,251.0,1.7763568394002505e-14,267.98,4.0
16,KM.TILONGKABILA,MAKASSAR,40,258.0,258.0,0.0,263.0,0.0
24,KM.LEUSER,BIMA,14,363.0,363.0,0.0,365.0,0.0
8,KM.TATAMAILAU,DOBO,20,201.0,201.0,0.0,203.0,0.0
14,KM.AWU,SURABAYA,62,209.0,275.0,1.7763568394002505e-14,281.98,66.00000000000003
26,KM.WILIS,MAKASSAR,40,384.0,384.0,0.0,392.0,0.0
7,KFC.JETLINER,WANCI,74,294.0,294.0,0.0,296.0,178.0
20,KM.LAMBELU,BALIKPAPAN,5,280.0,280.0,0.0,282.0,0.0
8,KM.TATAMAILAU,TIMIKA,70,220.0,220.0,0.0,222.0,0.0
13,KM.DOROLONDA,SURABAYA,62,172.0,281.98,0.0,290.98,109.98000000000002
22,KFC.JETLINER,KENDARI,30,299.0,299.0,0.0,305.0,0.0
23,KM.KELUD,TANJUNGPRIOK,65,266.0,266.0,0.0,283.0,0.0
12,KM.EGON,LEMBAR,36,202.0,208.0,0.0,211.0,10.0
16,KM.TILONGKABILA,BAUBAU,10,284.0,284.0,0.0,286.0,0.0
9,KM.SINABUNG,MAKASSAR,40,306.0,306.0,0.0,308.0,104.0
1,KM.LAWIT,SEMARANG,58,360.0,360.0,0.0,366.0,188.0
17,KM.KELIMUTU,TANJUNGPRIOK,65,199.0,224.98,0.0,251.98,25.97999999999999
3,KM.PANGRANGO,AMBON,2,36.0,160.0,0.0,188.0,124.0
