port_name,E_min,E_max,buffer_time,ship_name
SAMPIT,2.1,6,4,KM.LAWIT
KUMAI,0.7,6,2,KM.LAWIT
KUMAI,0.7,6,2,KM.KELIMUTU
KUMAI,0.7,6,2,KM.AWU
PONTIANAK,1.0,6,2,KM.KELIMUTU
PONTIANAK,0.9,6,2,KM.BUKITRAYA
MERAUKE,3.8,6,2,KM.TATAMAILAU
MERAUKE,3.8,6,2,KM.SIRIMAU
MERAUKE,3.8,6,2,KM.LEUSER
AGATS,1.4,6,2,KM.TATAMAILAU
AGATS,1.4,6,2,KM.SIRIMAU
AGATS,1.4,6,2,KM.LEUSER
TIMIKA,1.0,6,2,KM.TATAMAILAU
TIMIKA,1.0,6,2,KM.SIRIMAU
TIMIKA,1.0,6,2,KM.LEUSER
BATAM,1,6,1,KM.KELUD
MAKASSAR,0.8,6,0,KM.CIREMAI
MAKASSAR,0.8,6,0,KM.DOBONSOLO
SORONG,0.8,6,0,KM.CIREMAI
SORONG,0.8,6,0,KM.DOBONSOLO
JAYAPURA,0.8,6,0,KM.CIREMAI
JAYAPURA,0.8,6,0,KM.DOBONSOLO
MANOKWARI,0,1.5,0,KM.DOBONSOLO
AMBON,0.8,6,0,KM.CIREMAI
WAINGAPU,1.4,6,0,KM.EGON
LEMBAR,0.8,6,0,KM.EGON
BATULICIN,1.5,6,0,KM.EGON
BONTANG,1.4,6,0,KM.EGON
