Ship_Name,Voyage_ID,Leg_Sequence,Port_Name,ETA_Planned,Service_Time_Hours,Next_Port
KM  AWU,VOY_01_2025,1,KUMAI,2025-01-08 04:00:00,10.0,SURABAYA
KM  AWU,VOY_01_2025,2,SURABAYA,2025-01-09 17:00:00,7.0,BENOA
KM  AWU,VOY_01_2025,3,BENOA,2025-01-11 03:00:00,6.0,BIMA
KM  AWU,VOY_01_2025,4,BIMA,2025-01-12 06:00:00,2.0,WAINGAPU
KM  AWU,VOY_01_2025,5,WAINGAPU,2025-01-12 22:00:00,3.0,ENDE
KM  AWU,VOY_01_2025,6,ENDE,2025-01-13 10:00:00,2.0,KUPANG
KM  AWU,VOY_01_2025,7,KUPANG,2025-01-14 01:00:00,4.0,KALABAHI
KM  AWU,VOY_01_2025,8,KALABAHI,2025-01-14 18:00:00,22.0,KUPANG
KM  AWU,VOY_01_2025,9,KUPANG,2025-01-16 05:00:00,4.0,ENDE
KM  AWU,VOY_01_2025,10,ENDE,2025-01-16 22:00:00,3.0,WAINGAPU
KM  AWU,VOY_01_2025,11,WAINGAPU,2025-01-17 10:00:00,3.0,BIMA
KM  AWU,VOY_01_2025,12,BIMA,2025-01-18 03:00:00,3.0,BENOA
KM  AWU,VOY_01_2025,13,BENOA,2025-01-19 03:00:00,6.0,SURABAYA
KM  AWU,VOY_01_2025,14,SURABAYA,2025-01-20 13:00:00,5.0,KUMAI
KM  AWU,VOY_01_2025,15,KUMAI,2025-01-21 22:00:00,0.0,
KM  AWU,VOY_02_2025,1,KUMAI,2025-01-21 22:00:00,30.0,SURABAYA
KM  AWU,VOY_02_2025,2,SURABAYA,2025-01-24 07:00:00,7.0,BENOA
KM  AWU,VOY_02_2025,3,BENOA,2025-01-25 17:00:00,6.0,BIMA
KM  AWU,VOY_02_2025,4,BIMA,2025-01-26 20:00:00,2.0,WAINGAPU
KM  AWU,VOY_02_2025,5,WAINGAPU,2025-01-27 12:00:00,3.0,ENDE
KM  AWU,VOY_02_2025,6,ENDE,2025-01-28 00:00:00,2.0,KUPANG
KM  AWU,VOY_02_2025,7,KUPANG,2025-01-28 15:00:00,4.0,KALABAHI
KM  AWU,VOY_02_2025,8,KALABAHI,2025-01-29 08:00:00,7.0,KUPANG
KM  AWU,VOY_02_2025,9,KUPANG,2025-01-30 04:00:00,4.0,ENDE
KM  AWU,VOY_02_2025,10,ENDE,2025-01-30 21:00:00,2.0,WAINGAPU
KM  AWU,VOY_02_2025,11,WAINGAPU,2025-01-31 08:00:00,3.0,BIMA
KM  AWU,VOY_02_2025,12,BIMA,2025-02-01 01:00:00,2.0,BENOA
KM  AWU,VOY_02_2025,13,BENOA,2025-02-02 00:00:00,6.0,SURABAYA
KM  AWU,VOY_02_2025,14,SURABAYA,2025-02-03 10:00:00,4.0,KUMAI
KM  AWU,VOY_02_2025,15,KUMAI,2025-02-04 18:00:00,0.0,
KM  AWU,VOY_03_2025,1,SEMARANG,2025-02-07 10:00:00,660.0,SURABAYA
KM  AWU,VOY_03_2025,2,SURABAYA,2025-03-07 12:00:00,17.0,BENOA
KM  AWU,VOY_03_2025,3,BENOA,2025-03-09 09:00:00,6.0,BIMA
KM  AWU,VOY_03_2025,4,BIMA,2025-03-10 12:00:00,3.0,WAINGAPU
KM  AWU,VOY_03_2025,5,WAINGAPU,2025-03-11 05:00:00,3.0,ENDE
KM  AWU,VOY_03_2025,6,ENDE,2025-03-11 17:00:00,2.0,KUPANG
KM  AWU,VOY_03_2025,7,KUPANG,2025-03-12 08:00:00,3.0,KALABAHI
KM  AWU,VOY_03_2025,8,KALABAHI,2025-03-13 00:00:00,2.0,KUPANG
KM  AWU,VOY_03_2025,9,KUPANG,2025-03-13 15:00:00,3.0,ENDE
KM  AWU,VOY_03_2025,10,ENDE,2025-03-14 07:00:00,2.0,WAINGAPU
KM  AWU,VOY_03_2025,11,WAINGAPU,2025-03-14 18:00:00,2.0,BIMA
KM  AWU,VOY_03_2025,12,BIMA,2025-03-15 10:00:00,2.0,BENOA
KM  AWU,VOY_03_2025,13,BENOA,2025-03-16 09:00:00,3.0,SURABAYA
KM  AWU,VOY_03_2025,14,SURABAYA,2025-03-17 16:00:00,3.0,KUMAI
KM  AWU,VOY_03_2025,15,KUMAI,2025-03-18 23:00:00,3.0,SEMARANG
KM  AWU,VOY_03_2025,16,SEMARANG,2025-03-20 04:00:00,3.0,KUMAI
KM  AWU,VOY_03_2025,17,KUMAI,2025-03-21 07:00:00,0.0,
KM  AWU,VOY_04_2025,1,KUMAI,2025-03-21 12:00:00,3.0,SEMARANG
KM  AWU,VOY_04_2025,2,SEMARANG,2025-03-22 16:00:00,3.0,KUMAI
KM  AWU,VOY_04_2025,3,KUMAI,2025-03-23 19:00:00,3.0,SURABAYA
