Ship_Name,Port_Name,ETA_Planned,Optimized_Priority,Queue_Time,Actual_Arrival,Actual_Berth,Actual_Departure,Delay_Hours,Waiting_Time_Hours
KM GUNUNG DEMPO,MAKASSAR,2024-12-28 04:00:00,0.7453759072569459,2024-12-27 10:06:39.521612999,2024-12-28 04:00:00,2024-12-28 04:00:00,2024-12-28 07:00:00,0.0,0.0
KM DOBONSOLO,TANJUNG PRIOK,2025-01-20 12:00:00,0.6731892093442009,2025-01-19 19:50:36.452312661,2025-01-20 12:00:00,2025-01-20 12:00:00,2025-02-21 00:00:00,0.0,0.0
KM BK SIGUNTANG,MAKASSAR,2025-01-25 07:00:00,0.5324426458373873,2025-01-24 18:13:16.955399651,2025-01-25 07:00:00,2025-01-25 07:00:00,2025-01-26 00:00:00,0.0,0.0
KM BK SIGUNTANG,PARE-PARE,2025-01-26 05:00:00,0.0,2025-01-26 05:00:00.000000000,2025-01-26 05:00:00,2025-01-26 05:00:00,2025-01-26 09:00:00,0.0,0.0
KM BK SIGUNTANG,BALIKPAPAN,2025-01-27 00:00:00,0.3928979019467457,2025-01-26 14:34:13.621271801,2025-01-27 00:00:00,2025-01-27 00:00:00,2025-01-27 02:00:00,0.0,0.0
KM LABOBAR,TANJUNG PRIOK,2025-01-28 05:00:00,0.7863834883149792,2025-01-27 10:07:36.466609588,2025-01-28 05:00:00,2025-02-21 00:00:00,2025-02-21 14:00:00,571.0,571.0
KM NGGAPULU,TANJUNG PRIOK,2025-01-27 16:00:00,0.0,2025-01-27 16:00:00.000000000,2025-01-27 16:00:00,2025-02-21 14:00:00,2025-02-23 06:00:00,598.0,598.0
KM BK SIGUNTANG,TARAKAN,2025-01-28 03:00:00,0.399055086346193,2025-01-27 17:25:21.640539688,2025-01-28 03:00:00,2025-01-28 03:00:00,2025-01-28 07:00:00,0.0,0.0
KM WILIS,BATULICIN,2025-01-28 15:00:00,0.577156066609825,2025-01-28 01:08:53.715844911,2025-01-28 15:00:00,2025-01-28 15:00:00,2025-01-29 18:00:00,0.0,0.0
KM BK SIGUNTANG,NUNUKAN,2025-01-28 13:00:00,0.4634238910445482,2025-01-28 01:52:40.175813752,2025-01-28 13:00:00,2025-01-28 13:00:00,2025-01-28 16:00:00,0.0,0.0
KM BINAIYA,BENOA,2025-01-29 10:00:00,0.188394735364089,2025-01-29 05:28:42.694864544,2025-01-29 10:00:00,2025-01-29 10:00:00,2025-01-29 22:00:00,0.0,0.0
KM LABOBAR,SURABAYA,2025-01-29 19:00:00,0.5089623232737768,2025-01-29 06:47:05.655269145,2025-02-21 14:00:00,2025-02-21 14:00:00,2025-02-21 18:00:00,547.0,0.0
