Ship_Name,Voyage_ID,Leg_Sequence,Port_Name,ETA_Planned,Service_Time_Hours,Next_Port,Optimized_Priority
KM KELUD,VOY_05_2025,1,TANJUNG PRIOK,2025-01-30 18:00:00,27.0,BATAM,0.6461111996401583
KM KELUD,VOY_05_2025,2,BATAM,2025-02-02 04:00:00,5.0,TANJUNG BALAI KARIMUN,0.5185955610219952
KM KELUD,VOY_05_2025,3,TANJUNG BALAI KARIMUN,2025-02-02 12:00:00,1.0,BELAWAN,0.1444922908946856
KM KELUD,VOY_05_2025,4,BELAWAN,2025-02-03 11:00:00,25.0,TANJUNG BALAI KARIMUN,0.6437522787874388
KM KELUD,VOY_05_2025,5,TANJUNG BALAI KARIMUN,2025-02-05 10:00:00,1.0,BATAM,0.4824452612555868
KM KELUD,VOY_05_2025,6,BATAM,2025-02-05 14:00:00,3.0,TANJUNG PRIOK,0.31062109532048193
KM KELUD,VOY_05_2025,7,TANJUNG PRIOK,2025-02-06 23:00:00,0.0,,0.3776607769610263
KM KELUD,VOY_06_2025,1,TANJUNG PRIOK,2025-02-06 23:00:00,22.0,BATAM,0.5250911623371142
KM KELUD,VOY_06_2025,2,BATAM,2025-02-09 04:00:00,5.0,TANJUNG BALAI KARIMUN,0.35968532968882083
KM KELUD,VOY_06_2025,3,TANJUNG BALAI KARIMUN,2025-02-09 12:00:00,1.0,BELAWAN,0.7574239120877149
KM KELUD,VOY_06_2025,4,BELAWAN,2025-02-10 11:00:00,20.0,TANJUNG BALAI KARIMUN,0.593766729548007
KM KELUD,VOY_06_2025,5,TANJUNG BALAI KARIMUN,2025-02-12 05:00:00,1.0,BATAM,0.49557089488068706
KM KELUD,VOY_06_2025,6,BATAM,2025-02-12 09:00:00,3.0,TANJUNG PRIOK,1.0
KM KELUD,VOY_06_2025,7,TANJUNG PRIOK,2025-02-13 18:00:00,0.0,,0.639665731240606
KM KELUD,VOY_07_2025,1,TANJUNG PRIOK,2025-02-13 18:00:00,27.0,BATAM,0.6360775357628218
KM KELUD,VOY_07_2025,2,BATAM,2025-02-16 04:00:00,5.0,TANJUNG BALAI KARIMUN,0.8808607372142246
KM KELUD,VOY_07_2025,3,TANJUNG BALAI KARIMUN,2025-02-16 12:00:00,1.0,BELAWAN,0.17822404431423877
KM KELUD,VOY_07_2025,4,BELAWAN,2025-02-17 11:00:00,23.0,TANJUNG BALAI KARIMUN,0.2654047268410391
KM KELUD,VOY_07_2025,5,TANJUNG BALAI KARIMUN,2025-02-19 08:00:00,1.0,BATAM,0.63762802983168
KM KELUD,VOY_07_2025,6,BATAM,2025-02-19 12:00:00,3.0,TANJUNG PRIOK,0.6500287267335013
KM KELUD,VOY_07_2025,7,TANJUNG PRIOK,2025-02-20 21:00:00,0.0,,0.7341206599504011
KM KELUD,VOY_08_2025,1,TANJUNG PRIOK,2025-02-20 21:00:00,23.0,BATAM,0.8254431813460781
KM KELUD,VOY_08_2025,2,BATAM,2025-02-23 03:00:00,5.0,TANJUNG BALAI KARIMUN,0.7981640105829675
KM KELUD,VOY_08_2025,3,TANJUNG BALAI KARIMUN,2025-02-23 11:00:00,1.0,BELAWAN,0.4233529190429364
KM KELUD,VOY_08_2025,4,BELAWAN,2025-02-24 10:00:00,21.0,TANJUNG BALAI KARIMUN,0.32561177009348913
KM KELUD,VOY_08_2025,5,TANJUNG BALAI KARIMUN,2025-02-26 05:00:00,1.0,BATAM,0.37130248275585903
