Ship_Name,Voyage_ID,Leg_Sequence,Port_Name,ETA_Planned,Service_Time_Hours,Next_Port
KM AWU,VOY_05_2025,1,KUMAI,2025-04-05 03:00:00,3.0,SEMARANG
KM AWU,VOY_05_2025,2,SEMARANG,2025-04-06 07:00:00,9.0,KUMAI
KM AWU,VOY_05_2025,3,KUMAI,2025-04-07 16:00:00,12.0,SURABAYA
KM AWU,VOY_05_2025,4,SURABAYA,2025-04-09 09:00:00,6.0,BENOA
KM AWU,VOY_05_2025,5,BENOA,2025-04-10 18:00:00,3.0,BIMA
KM AWU,VOY_05_2025,6,BIMA,2025-04-11 18:00:00,2.0,WAINGAPU
KM AWU,VOY_05_2025,7,WAINGAPU,2025-04-12 10:00:00,2.0,ENDE
KM AWU,VOY_05_2025,8,ENDE,2025-04-12 21:00:00,2.0,KUPANG
KM AWU,VOY_05_2025,9,KUPANG,2025-04-13 12:00:00,4.0,KALABAHI
KM AWU,VOY_05_2025,10,KALABAHI,2025-04-14 05:00:00,2.0,KUPANG
KM AWU,VOY_05_2025,11,KUPANG,2025-04-14 20:00:00,4.0,ENDE
KM AWU,VOY_05_2025,12,ENDE,2025-04-15 13:00:00,2.0,WAINGAPU
KM AWU,VOY_05_2025,13,WAINGAPU,2025-04-16 00:00:00,3.0,BIMA
KM AWU,VOY_05_2025,14,BIMA,2025-04-16 17:00:00,2.0,BENOA
KM AWU,VOY_05_2025,15,BENOA,2025-04-17 16:00:00,3.0,SURABAYA
KM AWU,VOY_05_2025,16,SURABAYA,2025-04-18 23:00:00,3.0,KUMAI
KM AWU,VOY_05_2025,17,KUMAI,2025-04-20 06:00:00,0.0,
KM AWU,VOY_06_2025,1,KUMAI,2025-04-20 06:00:00,4.0,SURABAYA
KM AWU,VOY_06_2025,2,SURABAYA,2025-04-21 15:00:00,6.0,BENOA
KM AWU,VOY_06_2025,3,BENOA,2025-04-23 00:00:00,5.0,BIMA
KM AWU,VOY_06_2025,4,BIMA,2025-04-24 02:00:00,2.0,WAINGAPU
KM AWU,VOY_06_2025,5,WAINGAPU,2025-04-24 18:00:00,3.0,ENDE
KM AWU,VOY_06_2025,6,ENDE,2025-04-25 06:00:00,2.0,KUPANG
KM AWU,VOY_06_2025,7,KUPANG,2025-04-25 21:00:00,3.0,KALABAHI
KM AWU,VOY_06_2025,8,KALABAHI,2025-04-26 13:00:00,2.0,KUPANG
KM AWU,VOY_06_2025,9,KUPANG,2025-04-27 04:00:00,3.0,ENDE
KM AWU,VOY_06_2025,10,ENDE,2025-04-27 20:00:00,2.0,WAINGAPU
KM AWU,VOY_06_2025,11,WAINGAPU,2025-04-28 07:00:00,3.0,BIMA
KM AWU,VOY_06_2025,12,BIMA,2025-04-29 00:00:00,2.0,BENOA
KM AWU,VOY_06_2025,13,BENOA,2025-04-29 23:00:00,3.0,SURABAYA
KM AWU,VOY_06_2025,14,SURABAYA,2025-05-01 06:00:00,3.0,KUMAI
KM AWU,VOY_06_2025,15,KUMAI,2025-05-02 13:00:00,0.0,
KM KELUD,VOY_14_2025,1,TANJUNG PRIOK,2025-04-04 03:00:00,14.0,BATAM
KM KELUD,VOY_14_2025,2,BATAM,2025-04-06 00:00:00,4.0,TANJUNG BALAI KARIMUN
