Nama_Pelabuhan,Wilayah,Max_Ship_Type,Total_Berths
BELAWAN,Barat,2000,1
PULAU BATAM,Barat,2000,1
MAKASSAR,Tengah,2000,1
BAU-BAU,Tengah,2000,1
SURABAYA,Barat,2000,1
PARE-PARE,Tengah,2000,1
TANJUNG PRIOK,Barat,2000,1
AMBON,Tengah,2000,1
TERNATE,Timur,2000,1
MANOKWARI,Timur,2000,1
TARAKAN,Tengah,2000,1
SEMARANG,Barat,2000,1
SORONG,Timur,2000,1
NABIRE,Timur,2000,1
JAYAPURA,Timur,2000,1
KUMAI,Barat,1000,1
PANTOLOAN,Tengah,2000,1
ENDE,Tengah,1000,1
BANDA,Timur,2000,1
KUPANG,Tengah,2000,1
BIMA,Tengah,1000,1
KENDARI,Tengah,1000,1
TUAL,Timur,2000,1
BENOA,Tengah,1000,1
LABUAN BAJO,Tengah,1000,1
NAMLEA,Timur,2000,1
MAUMERE,Tengah,1000,1
BIAK,Timur,2000,1
SAMPIT,Barat,1000,1
BITUNG,Tengah,2000,1
LEWOLEBA,Tengah,2000,1
PONTIANAK,Barat,1000,1
DOBO,Timur,2000,1
KIJANG,Barat,2000,1
TIMIKA,Timur,1000,1
LUWUK,Tengah,1000,1
BANGGAI,Tengah,2000,1
WASIOR,Timur,2000,1
TIDORE,Tengah,1000,1
JAILOLO,Tengah,1000,1
BALIKPAPAN,Tengah,2000,1
NUNUKAN,Tengah,2000,1
WAINGAPU,Tengah,1000,1
BONTANG,Tengah,1000,1
SERUI,Timur,2000,1
SAUMLAKI,Timur,1000,1
KALABAHI,Tengah,1000,1
WANCI,Tengah,1000,1
BATULICIN,Barat,1000,1
NAMROLE,Timur,1000,1
FAK-FAK,Timur,2000,1
LARANTUKA,Tengah,1000,1
AMPENAN/LEMBAR,Tengah,1000,1
KAIMANA,Timur,2000,1
TAREMPA,Barat,1000,1
MERAUKE,Timur,1000,1
GORONTALO,Tengah,1000,1
KARIMUN JAWA,Barat,1000,1
NATUNA,Barat,1000,1
AGATS,Timur,1000,1
LETUNG,Barat,1000,1
BELINYU,Barat,1000,1
SERASAN,Barat,1000,1
MIDAI,Barat,1000,1
SANANA,Timur,1000,1
TANJUNG BALAI KARIMUN,Barat,500,1
WAIKELO,Tengah,500,1
RAHA,Tengah,500,1
TANJUNG PANDAN,Barat,1000,1
AWERANGE,Tengah,1000,1
BACAN,Tengah,500,1
GESER,Timur,500,1
