Ship_Name,Voyage_ID,Leg_Sequence,Port_Name,ETA_Planned,Service_Time_Hours,Next_Port,Optimized_Priority
KM AWU,VOY_01_2025,1,KUMAI,2025-01-08 04:00:00,10.0,SURABAYA,0.38451793080751695
KM AWU,VOY_01_2025,2,SURABAYA,2025-01-09 17:00:00,7.0,BENOA,0.9859490825841023
KM AWU,VOY_01_2025,3,BENOA,2025-01-11 03:00:00,6.0,BIMA,1.0
KM AWU,VOY_01_2025,4,BIMA,2025-01-12 06:00:00,2.0,WAINGAPU,0.7768243063023492
KM AWU,VOY_01_2025,5,WAINGAPU,2025-01-12 22:00:00,3.0,ENDE,0.5492707987961354
KM AWU,VOY_01_2025,6,ENDE,2025-01-13 10:00:00,2.0,KUPANG,0.7021731014786002
KM AWU,VOY_01_2025,7,KUPANG,2025-01-14 01:00:00,4.0,KALABAHI,0.43178704221318154
KM AWU,VOY_01_2025,8,KALABAHI,2025-01-14 18:00:00,22.0,KUPANG,0.6622179339784537
KM AWU,VOY_01_2025,9,KUPANG,2025-01-16 05:00:00,4.0,ENDE,0.821987320521094
KM AWU,VOY_01_2025,10,ENDE,2025-01-16 22:00:00,3.0,WAINGAPU,0.31474861845987334
KM AWU,VOY_01_2025,11,WAINGAPU,2025-01-17 10:00:00,3.0,BIMA,0.45721657459963605
KM AWU,VOY_01_2025,12,BIMA,2025-01-18 03:00:00,3.0,BENOA,0.5012021600359431
KM AWU,VOY_01_2025,13,BENOA,2025-01-19 03:00:00,6.0,SURABAYA,0.898751871879663
KM AWU,VOY_01_2025,14,SURABAYA,2025-01-20 13:00:00,5.0,KUMAI,0.45694366789113083
KM AWU,VOY_01_2025,15,KUMAI,2025-01-21 22:00:00,0.0,,0.6021470276218461
KM AWU,VOY_02_2025,1,KUMAI,2025-01-21 22:00:00,30.0,SURABAYA,0.07522302894153465
KM AWU,VOY_02_2025,2,SURABAYA,2025-01-24 07:00:00,7.0,BENOA,0.7133895394650969
KM AWU,VOY_02_2025,3,BENOA,2025-01-25 17:00:00,6.0,BIMA,0.78563647122867
KM AWU,VOY_02_2025,4,BIMA,2025-01-26 20:00:00,2.0,WAINGAPU,0.7505397909777076
KM AWU,VOY_02_2025,5,WAINGAPU,2025-01-27 12:00:00,3.0,ENDE,0.6995992849526387
KM AWU,VOY_02_2025,6,ENDE,2025-01-28 00:00:00,2.0,KUPANG,0.5808724752393233
KM AWU,VOY_02_2025,7,KUPANG,2025-01-28 15:00:00,4.0,KALABAHI,0.7100423127925012
KM AWU,VOY_02_2025,8,KALABAHI,2025-01-29 08:00:00,7.0,KUPANG,0.2788477554421193
KM AWU,VOY_02_2025,9,KUPANG,2025-01-30 04:00:00,4.0,ENDE,0.12883628368505506
