Ship_Name,Voyage_ID,Leg_Sequence,Port_Name,ETA_Planned,Service_Time_Hours,Next_Port,Optimized_Priority
KM TATAMAILAU,VOY_01_2025,7,AGATS,2025-01-10 08:00:00,2.0,MERAUKE,0.5487254730931236
KM TATAMAILAU,VOY_01_2025,9,AGATS,2025-01-14 12:00:00,8.0,TIMIKA,0.656215706913498
KM SIRIMAU,VOY_01_2025,13,AGATS,2025-01-22 09:00:00,2.0,MERAUKE,0.4357173618955419
KM LEUSER,VOY_01_2025,14,AGATS,2025-01-25 10:00:00,6.0,MERAUKE,0.4731740372369925
KM SIRIMAU,VOY_01_2025,15,AGATS,2025-01-27 00:00:00,3.0,TIMIKA,0.5242576862610181
KM LEUSER,VOY_01_2025,16,AGATS,2025-01-30 01:00:00,8.0,TIMIKA,0.44332899900195477
KM PANGRANGO,VOY_01_2025,1,AMBON,2025-01-02 12:00:00,28.0,BANDA,0.43777836626937616
KM LABOBAR,VOY_01_2025,6,AMBON,2025-01-02 19:00:00,3.0,BANDA,0.566733644047475
KM CIREMAI,VOY_01_2025,5,AMBON,2025-01-03 20:00:00,3.0,SORONG,0.6156370732262109
KM PANGRANGO,VOY_01_2025,3,AMBON,2025-01-06 06:00:00,14.0,NAMROLE,0.5669734730587066
KM TATAMAILAU,VOY_01_2025,3,AMBON,2025-01-07 02:00:00,2.0,TUAL,0.5368719467806835
KM PANGRANGO,VOY_01_2025,5,AMBON,2025-01-07 18:00:00,6.0,BANDA,0.3654876755915679
KM GUNUNG DEMPO,VOY_01_2025,4,AMBON,2025-01-08 14:00:00,2.0,SORONG,0.5765674876213753
KM LABOBAR,VOY_01_2025,22,AMBON,2025-01-11 06:00:00,2.0,NAMLEA,0.8315505396596312
KM PANGRANGO,VOY_01_2025,9,AMBON,2025-01-11 21:00:00,20.0,BANDA,0.3525673944227896
KM SIRIMAU,VOY_01_2025,2,AMBON,2025-01-12 16:00:00,3.0,WANCI,0.6674223298175619
KM SINABUNG,VOY_01_2025,7,AMBON,2025-01-12 21:00:00,3.0,SORONG,0.4806548185412726
KM SANGIANG,VOY_01_2025,6,AMBON,2025-01-13 10:00:00,4.0,BANDA,0.42136948513401207
KM CIREMAI,VOY_01_2025,15,AMBON,2025-01-14 10:00:00,3.0,BAU-BAU,0.4832660714861895
KM PANGRANGO,VOY_01_2025,13,AMBON,2025-01-16 12:00:00,0.0,,0.49439472705760595
KM SANGIANG,VOY_01_2025,12,AMBON,2025-01-17 15:00:00,9.0,NAMLEA,0.44117174515374613
KM TATAMAILAU,VOY_01_2025,13,AMBON,2025-01-17 16:00:00,3.0,TERNATE,0.6546677572447583
KM LEUSER,VOY_01_2025,9,AMBON,2025-01-20 17:00:00,4.0,SAUMLAKI,0.6790610728177616
KM LEUSER,VOY_01_2025,21,AMBON,2025-02-03 16:00:00,3.0,NAMROLE,0.5801966425982398
KM SIRIMAU,VOY_01_2025,26,AMBON,2025-02-05 17:00:00,3.0,SORONG,0.6012621281435442
KM SANGIANG,VOY_01_2025,3,BACAN,2025-01-11 05:00:00,3.0,SANANA,0.7393267123292627
KM SINABUNG,VOY_01_2025,15,BACAN,2025-01-19 04:00:00,1.0,TERNATE,0.31925208852007747
KM SANGIANG,VOY_01_2025,15,BACAN,2025-01-20 06:00:00,2.0,TERNATE,0.8035938330562158
KM LAMBELU,VOY_01_2025,3,BALIKPAPAN,2024-12-28 14:00:00,3.0,PARE-PARE,0.46227982191801514
KM BK SIGUNTANG,VOY_01_2025,3,BALIKPAPAN,2024-12-30 00:00:00,2.0,TARAKAN,0.5802667881984469
