Ship_Name,Voyage_ID,Leg_Sequence,Port_Name,ETA_Planned,Service_Time_Hours,Next_Port,Optimized_Priority
KM AWU,VOY_05_2025,1,KUMAI,2025-04-05 03:00:00,3.0,SEMARANG,0.6509588291591234
KM AWU,VOY_05_2025,2,SEMARANG,2025-04-06 07:00:00,9.0,KUMAI,0.3517224370110792
KM AWU,VOY_05_2025,3,KUMAI,2025-04-07 16:00:00,12.0,SURABAYA,0.38567409796691343
KM AWU,VOY_05_2025,4,SURABAYA,2025-04-09 09:00:00,6.0,BENOA,0.4707261314325952
KM AWU,VOY_05_2025,5,BENOA,2025-04-10 18:00:00,3.0,BIMA,0.43186182514370686
KM AWU,VOY_05_2025,6,BIMA,2025-04-11 18:00:00,2.0,WAINGAPU,0.37526331459165607
KM AWU,VOY_05_2025,7,WAINGAPU,2025-04-12 10:00:00,2.0,ENDE,0.5906329752586729
KM AWU,VOY_05_2025,8,ENDE,2025-04-12 21:00:00,2.0,KUPANG,0.4680256974258426
KM AWU,VOY_05_2025,9,KUPANG,2025-04-13 12:00:00,4.0,KALABAHI,0.39852906025062984
KM AWU,VOY_05_2025,10,KALABAHI,2025-04-14 05:00:00,2.0,KUPANG,0.6353673058232843
KM AWU,VOY_05_2025,11,KUPANG,2025-04-14 20:00:00,4.0,ENDE,0.41549054350553905
KM AWU,VOY_05_2025,12,ENDE,2025-04-15 13:00:00,2.0,WAINGAPU,0.5517651918909002
KM AWU,VOY_05_2025,13,WAINGAPU,2025-04-16 00:00:00,3.0,BIMA,0.38380451816945516
KM AWU,VOY_05_2025,14,BIMA,2025-04-16 17:00:00,2.0,BENOA,0.4069705714849821
KM AWU,VOY_05_2025,15,BENOA,2025-04-17 16:00:00,3.0,SURABAYA,0.5103513624337928
KM AWU,VOY_05_2025,16,SURABAYA,2025-04-18 23:00:00,3.0,KUMAI,0.5993868298091483
KM AWU,VOY_05_2025,17,KUMAI,2025-04-20 06:00:00,0.0,,0.40263234615158294
KM AWU,VOY_06_2025,1,KUMAI,2025-04-20 06:00:00,4.0,SURABAYA,0.38909724472527907
KM AWU,VOY_06_2025,2,SURABAYA,2025-04-21 15:00:00,6.0,BENOA,0.3611657163882424
KM AWU,VOY_06_2025,3,BENOA,2025-04-23 00:00:00,5.0,BIMA,0.5987237735522858
KM AWU,VOY_06_2025,4,BIMA,2025-04-24 02:00:00,2.0,WAINGAPU,0.6018598293669938
KM AWU,VOY_06_2025,5,WAINGAPU,2025-04-24 18:00:00,3.0,ENDE,0.4777462854557778
KM AWU,VOY_06_2025,6,ENDE,2025-04-25 06:00:00,2.0,KUPANG,0.3814999504332916
KM AWU,VOY_06_2025,7,KUPANG,2025-04-25 21:00:00,3.0,KALABAHI,0.655858041291304
