Ship_Name,Port_Name,ETA_Planned,Optimized_Priority,Queue_Time,Actual_Arrival,Actual_Berth,Actual_Departure,Delay_Hours,Waiting_Time_Hours
KM SIRIMAU,TANJUNG PRIOK,2025-05-16 12:00:00,0.2966740177874859,2025-05-16 04:52:47.364863160,2025-05-16 12:00:00,2025-05-16 12:00:00,2025-06-13 13:00:00,0.0,0.0
KM BINAIYA,TANJUNG PRIOK,2025-05-22 14:00:00,0.8540065425630505,2025-05-21 17:30:13.834722554,2025-05-22 14:00:00,2025-06-13 13:00:00,2025-07-06 16:00:00,527.0,527.0
KM LAWIT,KUMAI,2025-05-23 16:00:00,0.4502443884669442,2025-05-23 05:11:38.884836455,2025-05-23 16:00:00,2025-05-23 16:00:00,2025-05-23 23:00:00,0.0,0.0
KM DOBONSOLO,TANJUNG PRIOK,2025-05-24 16:00:00,0.9962846510566168,2025-05-23 16:05:21.006148708,2025-05-24 16:00:00,2025-07-06 16:00:00,2025-07-07 01:00:00,1032.0,1032.0
KM LAWIT,SURABAYA,2025-05-25 03:00:00,0.4614285121035587,2025-05-24 15:55:32.576554254,2025-05-25 03:00:00,2025-05-25 03:00:00,2025-05-25 08:00:00,0.0,0.0
KM DOBONSOLO,SURABAYA,2025-05-26 03:00:00,0.8138604051560403,2025-05-25 07:28:02.460994518,2025-07-07 01:00:00,2025-07-07 01:00:00,2025-07-07 04:00:00,1006.0,0.0
KM SANGIANG,SEMARANG,2025-05-26 08:00:00,0.7303820984110814,2025-05-25 14:28:14.986697283,2025-05-26 08:00:00,2025-05-26 08:00:00,2025-06-20 22:00:00,0.0,0.0
KM LAWIT,SAMPIT,2025-05-26 16:00:00,0.4592204080549269,2025-05-26 04:58:43.356744056,2025-05-26 16:00:00,2025-05-26 16:00:00,2025-05-27 11:00:00,0.0,0.0
KM CIREMAI,TANJUNG PRIOK,2025-05-26 20:00:00,0.3265839112551534,2025-05-26 12:09:43.150067554,2025-05-26 20:00:00,2025-07-07 01:00:00,2025-07-08 06:00:00,989.0,989.0
KM KELIMUTU,TANJUNG PRIOK,2025-05-27 10:00:00,0.648658943897964,2025-05-26 18:25:55.867247217,2025-05-27 10:00:00,2025-07-08 06:00:00,2025-07-08 16:00:00,1004.0,1004.0
KM LAMBELU,MAKASSAR,2025-05-27 21:00:00,0.70301521257088,2025-05-27 04:07:39.485633877,2025-05-27 21:00:00,2025-05-27 21:00:00,2025-05-28 11:00:00,0.0,0.0
KM DOBONSOLO,MAKASSAR,2025-05-27 11:00:00,0.0034948062947658,2025-05-27 10:54:58.048736134,2025-07-07 04:00:00,2025-07-07 04:00:00,2025-07-07 07:00:00,977.0,0.0
KM DOBONSOLO,BAU-BAU,2025-05-28 05:00:00,0.3188106309868347,2025-05-27 21:20:54.761482738,2025-07-07 07:00:00,2025-07-07 07:00:00,2025-07-07 09:00:00,962.0,0.0
KM DOROLONDA,SURABAYA,2025-05-28 19:00:00,0.6304646126700122,2025-05-28 03:52:07.857465312,2025-05-28 19:00:00,2025-07-07 04:00:00,2025-07-08 05:00:00,945.0,945.0
KM KELIMUTU,TANJUNG PANDAN,2025-05-28 15:00:00,0.4229473887232053,2025-05-28 04:50:57.345614315,2025-07-08 16:00:00,2025-07-08 16:00:00,2025-07-08 18:00:00,985.0,0.0
KM LAMBELU,PARE-PARE,2025-05-28 16:00:00,0.4236614767765999,2025-05-28 05:49:55.648406504,2025-05-28 16:00:00,2025-05-28 16:00:00,2025-05-28 19:00:00,0.0,0.0
KM TILONGKABILA,BENOA,2025-05-28 08:00:00,0.0685414661626099,2025-05-28 06:21:18.017323550,2025-05-28 08:00:00,2025-05-28 08:00:00,2025-05-29 09:00:00,0.0,0.0
KM LAWIT,SEMARANG,2025-05-28 19:00:00,0.3576659858492897,2025-05-28 10:24:57.658822622,2025-05-28 19:00:00,2025-06-20 22:00:00,2025-06-21 06:00:00,555.0,555.0
KM AWU,KUMAI,2025-05-29 07:00:00,0.7312425906775666,2025-05-28 13:27:00.640165457,2025-05-29 07:00:00,2025-05-29 07:00:00,2025-05-30 15:00:00,0.0,0.0
KM NGGAPULU,TANJUNG PRIOK,2025-05-29 03:00:00,0.5106240095272798,2025-05-28 14:44:42.085576842,2025-05-29 03:00:00,2025-07-08 16:00:00,2025-07-09 07:00:00,973.0,973.0
KM TILONGKABILA,LEMBAR,2025-05-29 15:00:00,0.9401147786148212,2025-05-28 16:26:14.083127679,2025-05-29 15:00:00,2025-05-29 15:00:00,2025-05-29 17:00:00,0.0,0.0
KM CIREMAI,SURABAYA,2025-05-29 03:00:00,0.2975970875972018,2025-05-28 19:51:27.611631602,2025-07-08 06:00:00,2025-07-08 06:00:00,2025-07-08 09:00:00,963.0,0.0
KM LAMBELU,BALIKPAPAN,2025-05-29 11:00:00,0.2743300575161853,2025-05-29 04:24:57.883030604,2025-05-29 11:00:00,2025-05-29 11:00:00,2025-05-29 13:00:00,0.0,0.0
KM BK RAYA,TANJUNG PRIOK,2025-05-29 17:00:00,0.4855448427655719,2025-05-29 05:20:48.925585054,2025-05-29 17:00:00,2025-07-09 07:00:00,2025-07-09 14:00:00,974.0,974.0
KM DOBONSOLO,SORONG,2025-05-30 00:00:00,0.7626249991769537,2025-05-29 05:41:49.200071111,2025-07-07 09:00:00,2025-07-07 09:00:00,2025-07-07 12:00:00,921.0,0.0
KM KELIMUTU,PONTIANAK,2025-05-29 18:00:00,0.3207694326769908,2025-05-29 10:18:05.521016708,2025-07-08 18:00:00,2025-07-08 18:00:00,2025-07-08 20:00:00,960.0,0.0
KM LAWIT,KUMAI,2025-05-30 04:00:00,0.3942398699955607,2025-05-29 18:32:17.675232386,2025-06-21 06:00:00,2025-06-21 06:00:00,2025-06-21 08:00:00,530.0,0.0
KM KELUD,TANJUNG PRIOK,2025-05-30 04:00:00,0.3342699154638679,2025-05-29 19:58:39.079303922,2025-05-30 04:00:00,2025-07-09 14:00:00,2025-07-10 07:00:00,970.0,970.0
KM TILONGKABILA,BIMA,2025-05-30 11:00:00,0.5772312968808376,2025-05-29 21:08:47.215949496,2025-05-30 11:00:00,2025-05-30 11:00:00,2025-05-30 15:00:00,0.0,0.0
KM LAMBELU,NUNUKAN,2025-05-31 00:00:00,0.922205141051572,2025-05-30 01:52:01.475813144,2025-05-31 00:00:00,2025-05-31 00:00:00,2025-05-31 03:00:00,0.0,0.0
KM NGGAPULU,SURABAYA,2025-05-30 17:00:00,0.5511412775400935,2025-05-30 03:46:21.393620537,2025-07-09 07:00:00,2025-07-09 07:00:00,2025-07-09 11:00:00,950.0,0.0
KM BK RAYA,BLINYU,2025-05-31 04:00:00,0.8730974339695978,2025-05-30 07:02:44.381705028,2025-07-09 14:00:00,2025-07-09 14:00:00,2025-07-09 15:00:00,946.0,0.0
